Database,Credit,Table,CreditCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
SHLNMMK016,PROV_CR_RVS1,,###**34620?000000000,0
SHLNMMK016,PROV_CR_RVS2,,###**34620?000000000,0
SHLNMMK016,PROV_CR_RVS3,,###**34620?000000000,0
SHLNMMK016,PROV_CR_RVS4,,###**34620?000000000,0
SHLNMMK016,PROV_CR0,,###**62230?000000000,0
SHLNMMK016,PROV_CR1,,###**62230?000000000,0
SHLNMMK016,PROV_CR2,,###**62230?000000000,0
SHLNMMK016,PROV_CR3,,###**62230?000000000,0
SHLNMMK016,PROV_CR4,,###**62230?000000000,0
SHLNMMK016,PROV_DR_RVS0,,###**62230?000000000,0
SHLNMMK016,PROV_DR_RVS1,,###**62230?000000000,0
SHLNMMK016,PROV_DR_RVS2,,###**62230?000000000,0
SHLNMMK016,PROV_DR_RVS3,,###**62230?000000000,0
SHLNMMK016,PROV_DR_RVS4,,###**62230?000000000,0
SHLNMMK016,PROV_DR0,,###**34620?000000000,0
SHLNMMK016,PROV_DR1,,###**34620?000000000,0
SHLNMMK016,PROV_DR2,,###**34620?000000000,0
SHLNMMK016,PROV_DR3,,###**34620?000000000,0
SHLNMMK016,PROV_DR4,,###**34620?000000000,0
CHL1MMK017,CREDIT0,,###**95410?060000000,0
CHL1MMK017,CREDIT1,,###**95410?060000000,0
CHL1MMK017,CREDIT2,,###**95410?060000000,0
CHL1MMK017,CREDIT3,,###**95410?060000000,0
CHL1MMK017,CREDIT4,,###**95410?060000000,0
CHL1MMK017,PROV_CR_RVS0,,###**34620?000000000,0
CHL1MMK017,PROV_CR_RVS1,,###**34620?000000000,0
CHL1MMK017,PROV_CR_RVS2,,###**34620?000000000,0
CHL1MMK017,PROV_CR_RVS3,,###**34620?000000000,0
CHL1MMK017,PROV_CR_RVS4,,###**34620?000000000,0
CHL1MMK017,PROV_CR0,,###**62230?000000000,0
CHL1MMK017,PROV_CR1,,###**62230?000000000,0
CHL1MMK017,PROV_CR2,,###**62230?000000000,0
CHL1MMK017,PROV_CR3,,###**62230?000000000,0
CHL1MMK017,PROV_CR4,,###**62230?000000000,0
CHL1MMK017,PROV_DR_RVS0,,###**62230?000000000,0
CHL1MMK017,PROV_DR_RVS1,,###**62230?000000000,0
CHL1MMK017,PROV_DR_RVS2,,###**62230?000000000,0
CHL1MMK017,PROV_DR_RVS3,,###**62230?000000000,0
CHL1MMK017,PROV_DR_RVS4,,###**62230?000000000,0
CHL1MMK017,PROV_DR0,,###**34620?000000000,0
CHL1MMK017,PROV_DR1,,###**34620?000000000,0
CHL1MMK017,PROV_DR2,,###**34620?000000000,0
CHL1MMK017,PROV_DR3,,###**34620?000000000,0
CHL1MMK017,PROV_DR4,,###**34620?000000000,0
STPLMMK018,CREDIT0,,###**95410?060000000,0
STPLMMK018,CREDIT1,,###**95410?060000000,0
STPLMMK018,CREDIT2,,###**95410?060000000,0
STPLMMK018,CREDIT3,,###**95410?060000000,0
STPLMMK018,CREDIT4,,###**95410?060000000,0
STPLMMK018,PROV_CR_RVS0,,###**34620?000000000,0
STPLMMK018,PROV_CR_RVS1,,###**34620?000000000,0
STPLMMK018,PROV_CR_RVS2,,###**34620?000000000,0
STPLMMK018,PROV_CR_RVS3,,###**34620?000000000,0
STPLMMK018,PROV_CR_RVS4,,###**34620?000000000,0
STPLMMK018,PROV_CR0,,###**62230?000000000,0
STPLMMK018,PROV_CR1,,###**62230?000000000,0
STPLMMK018,PROV_CR2,,###**62230?000000000,0
STPLMMK018,PROV_CR3,,###**62230?000000000,0
STPLMMK018,PROV_CR4,,###**62230?000000000,0
STPLMMK018,PROV_DR_RVS0,,###**62230?000000000,0
STPLMMK018,PROV_DR_RVS1,,###**62230?000000000,0
STPLMMK018,PROV_DR_RVS2,,###**62230?000000000,0
STPLMMK018,PROV_DR_RVS3,,###**62230?000000000,0
STPLMMK018,PROV_DR_RVS4,,###**62230?000000000,0
STPLMMK018,PROV_DR0,,###**34620?000000000,0
STPLMMK018,PROV_DR1,,###**34620?000000000,0
STPLMMK018,PROV_DR2,,###**34620?000000000,0
STPLMMK018,PROV_DR3,,###**34620?000000000,0
STPLMMK018,PROV_DR4,,###**34620?000000000,0
HPA3MMK019,CREDIT0,,###**95410?060000000,0
HPA3MMK019,CREDIT1,,###**95410?060000000,0
HPA3MMK019,CREDIT2,,###**95410?060000000,0
HPA3MMK019,CREDIT3,,###**95410?060000000,0
HPA3MMK019,CREDIT4,,###**95410?060000000,0
HPA3MMK019,PROV_CR_RVS0,,###**34620?000000000,0
HPA3MMK019,PROV_CR_RVS1,,###**34620?000000000,0
HPA3MMK019,PROV_CR_RVS2,,###**34620?000000000,0
