Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,BranchCode,CurrencyCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
002110060100001402,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100001501,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100001601,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100001701,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100001801,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100001901,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100002001,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110060100002101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000301,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000401,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000501,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110070100000601,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110080100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110090100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100100000001,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100101000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100101000201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100101000301,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100101000401,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002110100101000501,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
