Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
001103020000000001,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103020101010102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103030101010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103030101010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103030102010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103030202010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040101010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040101010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040102010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040201010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040201010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103040202010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001104010101000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001104010201000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001104010201000201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001104020101000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
