Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
30502,AAA,002,,3,FALSE,C,N,A,Services Charges on MPU/ATM Transactions,Services Charges on MPU/ATM Transactions,,I,M,I,Y,N,Y,N,,,,,0
30503,AAA,002,,3,FALSE,C,N,A,Services Charges on MPU/POS Transactions,Services Charges on MPU/POS Transactions,,I,M,I,Y,N,Y,N,,,,,0
30504,AAA,002,,3,FALSE,C,N,A,Services Charges on Loans and Overdraft,Services Charges on Loans and Overdraft,,I,M,I,Y,N,Y,N,,,,,0
30505,AAA,002,,3,FALSE,C,N,A,Services Charges for Others,Services Charges for Others,,I,M,I,Y,N,Y,N,,,,,0
30506,AAA,002,,3,FALSE,C,N,A,Cash Advance Fees on Credit Cards,Cash Advance Fees on Credit Cards,,I,M,I,Y,N,Y,N,,,,,0
30507,AAA,002,,3,FALSE,C,N,A,Replacement Fee for Lost Debit Cards,Replacement Fee for Lost Debit Cards,,I,M,I,Y,N,Y,N,,,,,0
30508,AAA,002,,3,FALSE,C,N,A,Locker Rent,Locker Rent,,I,M,I,Y,N,Y,N,,,,,0
30509,AAA,002,,3,FALSE,C,N,A,Other Income,Other Income,,I,M,I,Y,N,Y,N,,,,,0
40101,AAA,002,,3,FALSE,D,N,A,Deposits by Banks,Deposits by Banks,,E,M,E,Y,N,Y,N,,,,,0
40102,AAA,002,,3,FALSE,D,N,A,Deposits by NFIs and Other Clients,Deposits by NFIs and Other Clients,,E,M,E,Y,N,Y,N,,,,,0
40103,AAA,002,,3,FALSE,D,N,A,Borrowings from CBM,Borrowings from CBM,,E,M,E,Y,N,Y,N,,,,,0
40104,AAA,002,,3,FALSE,D,N,A,Borrowings from Interbanks (Domestic),Borrowings from Interbanks (Domestic),,E,M,E,Y,N,Y,N,,,,,0
40201,AAA,002,,3,FALSE,D,N,A,SWIFT Charges,SWIFT Charges,,E,M,E,Y,N,Y,N,,,,,0
40202,AAA,002,,3,FALSE,D,N,A,Remittance Expenses,Remittance Expenses,,E,M,E,Y,N,Y,N,,,,,0
40203,AAA,002,,3,FALSE,D,N,A,Other Miscellaneous Fees,Other Miscellaneous Fees,,E,M,E,Y,N,Y,N,,,,,0
40301,AAA,002,,3,FALSE,D,N,A,Foreign Exchange loss,Foreign Exchange loss,,E,M,E,Y,N,Y,N,,,,,0
40401,AAA,002,,3,FALSE,D,N,A,Personal Expenses,Personal Expenses,,E,M,E,Y,N,Y,N,,,,,0
40501,AAA,002,,3,FALSE,D,N,A,License Fees,License Fees,,E,M,E,Y,N,Y,N,,,,,0
40502,AAA,002,,3,FALSE,D,N,A,Depreciation and Amortization,Depreciation and Amortization,,E,M,E,Y,N,Y,N,,,,,0
40503,AAA,002,,3,FALSE,D,N,A,Supplies and Services,Supplies and Services,,E,M,E,Y,N,Y,N,,,,,0
40504,AAA,002,,3,FALSE,D,N,A,Rates and Taxes,Rates and Taxes,,E,M,E,Y,N,Y,N,,,,,0
40505,AAA,002,,3,FALSE,D,N,A,Repairs and Maintenances,Repairs and Maintenances,,E,M,E,Y,N,Y,N,,,,,0
40506,AAA,002,,3,FALSE,D,N,A,Security Services Fees,Security Services Fees,,E,M,E,Y,N,Y,N,,,,,0
40507,AAA,002,,3,FALSE,D,N,A,Rent,Rent,,E,M,E,Y,N,Y,N,,,,,0
40508,AAA,002,,3,FALSE,D,N,A,Insurance,Insurance,,E,M,E,Y,N,Y,N,,,,,0
40509,AAA,002,,3,FALSE,D,N,A,Audit Fees,Audit Fees,,E,M,E,Y,N,Y,N,,,,,0
40510,AAA,002,,3,FALSE,D,N,A,Donations,Donations,,E,M,E,Y,N,Y,N,,,,,0
40511,AAA,002,,3,FALSE,D,N,A,Loss on Fixed Assets,Loss on Fixed Assets,,E,M,E,Y,N,Y,N,,,,,0
40512,AAA,002,,3,FALSE,D,N,A,Others,Others,,E,M,E,Y,N,Y,N,,,,,0
40601,AAA,002,,3,FALSE,D,N,A,Income Tax,Income Tax,,E,M,E,Y,N,Y,N,,,,,0
50101,AAA,002,,3,FALSE,B,N,A,AEG CONTRA A/C,AEG CONTRA A/C,,C,M,N,Y,N,Y,N,,,,,0
50201,AAA,002,,3,FALSE,B,N,A,Position Equivalent GL (MMK),Position Equivalent GL (MMK),,C,M,N,Y,N,Y,N,,,,,0
60101,AAA,002,,3,FALSE,B,N,A,AEG INTERNAL GUARANTEE,AEG INTERNAL GUARANTEE,,M,M,N,Y,N,Y,N,,,,,0
60201,AAA,002,,3,FALSE,B,N,A,POSITION GL (FOREIGN CURRENCY),POSITION GL (FOREIGN CURRENCY),,M,M,N,Y,N,Y,N,,,,,0
1010101,AAA,002,,4,FALSE,D,N,A,Cash and balances with Domestic Banks - Demand Deposit,Cash and balances with Domestic Banks - Demand Deposit,,A,M,N,Y,N,Y,N,,,,,0
1010102,AAA,002,,4,FALSE,D,N,A,Cash and balances with Domestic Banks - Time Deposit,Cash and balances with Domestic Banks - Time Deposit,,A,M,N,Y,N,Y,N,,,,,0
1010401,AAA,002,,4,FALSE,D,N,A,Cash and balances with Foreign Banks- Demand Deposit,Cash and balances with Foreign Banks- Demand Deposit,,A,M,N,Y,N,Y,N,,,,,0
1020101,AAA,002,,4,FALSE,D,N,A,Balances with DomesticBanks - Fixed Deposits more than three months,Balances with DomesticBanks - Fixed Deposits more than three months,,A,M,N,Y,N,Y,N,,,,,0
